#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

1995be  Anon.            1995 07 18  15 58.2 +19 46   16E   6N  19     IAUC 6433       15 58 14.30 +19 46 06.5   IAUC 6433              1995be  McNaught
1995bd  UGC 3151         1995 12 19  04 45.4 +11 04   24E   2S  18.8   IAUC 6278       04 45 21.24 +11 04 02.5   IAUC 6278        Ia    1995bd  Pollas
1995bc  Anon.            1995 12 01  09 51.7 +40 19    5E  14N  18.5   IAUC 6275       09 51 43.50 +40 18 50.6   IAUC 6275        II    1995bc  Mueller
1995bb  Anon.            1995 11 29  00 16.3 +12 25    0    0          IAUC 6271       00 16 17.64 +12 24 53.4   IAUC 6271        Ic    1995bb  Tokarz, Garnavich
1995ba  Anon.            1995 11 20  08 19.1 +07 43    0E   0N  22.6   IAUC 6270       08 19 06.46 +07 43 21.2   IAUC 6270        I     1995ba  Supernova Cosmology Project
1995az  Anon.            1995 11 20  04 40.6 -05 30    2W   2N  24.0   IAUC 6270       04 40 33.59 -05 30 03.6   IAUC 6270        I     1995az  Supernova Cosmology Project
1995ay  Anon.            1995 11 20  03 01.1 +00 21    1W   1S  22.7   IAUC 6270       03 01 07.52 +00 21 19.4   IAUC 6270        I     1995ay  Supernova Cosmology Project
1995ax  Anon.            1995 11 19  02 26.4 +00 49    0W   0S  22.6   IAUC 6270       02 26 25.80 +00 48 44.2   IAUC 6270        I     1995ax  Supernova Cosmology Project
1995aw  Anon.            1995 11 19  02 24.9 +00 53    0W   0S  22.5   IAUC 6270       02 24 55.54 +00 53 07.5   IAUC 6270        I     1995aw  Supernova Cosmology Project
1995av  Anon.            1995 11 20  02 01.6 +03 39    0W   0N  20.1   IAUC 6270       02 01 36.75 +03 38 55.2   IAUC 6270        II    1995av  Supernova Cosmology Project
1995au  Anon.            1995 10 29  01 18.5 +07 54    1E   3N  20.7   IAUC 6270       01 18 32.60 +07 54 03.5   IAUC 6270        I     1995au  Supernova Cosmology Project
1995at  Anon.            1995 11 20  01 04.8 +04 34    0W   0S  22.7   IAUC 6270       01 04 50.94 +04 33 53.0   IAUC 6270        I     1995at  Supernova Cosmology Project
1995as  Anon.            1995 11 19  01 01.6 +04 26    1W   1N  23.3   IAUC 6270       01 01 35.30 +04 26 14.8   IAUC 6270        I     1995as  Supernova Cosmology Project
1995ar  Anon.            1995 11 19  01 01.3 +04 19    3W   0S  23.1   IAUC 6270       01 01 20.41 +04 18 33.8   IAUC 6270        I     1995ar  Supernova Cosmology Project
1995aq  Anon.            1995 11 19  00 29.1 +07 51    1W   1S  22.4   IAUC 6270       00 29 04.26 +07 51 20.0   IAUC 6270        I     1995aq  Supernova Cosmology Project
1995ap  Anon.            1995 11 18  03 12.5 +00 42             21.5   IAUC 6267       03 12 28.13 +00 41 43.4   IAUC 6267        Ia    1995ap  High-Z Supernova Search Team
1995ao  Anon.            1995 11 18  02 57.5 -01 41             21.5   IAUC 6267       02 57 30.70 -01 41 19.8   IAUC 6267        Ia    1995ao  High-Z Supernova Search Team
1995an  UGC 3188         1995 10 27  04 51.8 +08 50   11W   3N  17.5   IAUC 6262       04 51 48.54 +08 50 39.7   IAUC 6268        II    1995an  Mueller
1995am  Anon.            1995 10 22  00 47.8 +29 58   11W  10S  15.0   IAUC 6262                                                  Ia    1995am  Lovas
1995al  NGC 3021         1995 11 01  09 50.9 +33 33   15W   3S  13.0   IAUC 6255       09 50 55.97 +33 33 09.4   IAUC 6255        Ia    1995al  Pesci, Mazza
1995ak  IC 1844          1995 10 27  02 45.8 +03 14    8W   1N  16.4   IAUC 6254       02 45 48.83 +03 13 50.1   IAUC 6254        Ia    1995ak  Pollas
1995aj  Anon.            1995 09 29  02 28.6 +41 56    5W   5S  20.0   IAUC 6253       02 28 36.64 +41 56 01.9   IAUC 6253        Ia    1995aj  Pollas
1995ai  NGC 7794         1995 10 23  23 58.6 +10 43   16W  17S  18.3   IAUC 6252       23 58 33.06 +10 43 23.9   IAUC 6252        II    1995ai  Pollas
1995ah  Anon.            1995 02 02  00 19.2 +15 06    2E   2N  17.6   IAUC 6245                                                  II    1995ah  Popescu et al.
1995ag  UGC 11861        1995 09 28  21 56.4 +73 15   20W  25S  17     IAUC 6244       21 56 19.38 +73 15 13.6   IAUC 6246        II    1995ag  Mueller
1995af  Anon.            1995 09 01  23 24.9 +41 24    5W   9N  18.0   IAUC 6242       23 24 53.45 +41 24 11.5   IAUC 6242              1995af  Pollas
1995ae  Anon.            1995 09 22  23 16.9 -02 05    5W   1N  18.5   IAUC 6241       23 16 55.65 -02 04 36.4   IAUC 6241        Ia    1995ae  Pollas
1995ad  NGC 2139         1995 09 28  06 01.1 -23 40   25W   5S  14.0   IAUC 6239       06 01 06.13 -23 40 29.0   IAUC 6242        II    1995ad  Evans
1995ac  Anon.            1995 09 22  22 45.7 -08 45    2W   4S  18.5   IAUC 6237       22 45 34.14 -08 45 04.7   IAUC 6238        Ia    1995ac  Pollas
1995ab  NGC 7663         1995 09 22  23 26.7 -04 58   11W  14N  17.7   IAUC 6237       23 26 44.46 -04 57 45.9   IAUC 6237        II    1995ab  Pollas
1995aa  Anon.            1995 09 02  22 59.2 -04 31    8E   2S  19.8   IAUC 6236       22 59 09.73 -04 30 57.3   IAUC 6236        IIn   1995aa  Pollas
1995Z   UGC 937          1995 08 28  01 23.6 +32 39   11E   5N  18.5   IAUC 6221       01 23 38.35 +32 37 53.1   IAUC 6222        II    1995Z   Mueller
1995Y   NGC 410          1995 08 28  01 11.0 +33 09    7E  25S  18     IAUC 6221       01 10 59.60 +33 08 40.7   IAUC 6222        I     1995Y   Mueller
1995X   UGC 12160        1995 08 03  22 40.8 +75 09   10W  20N  18     IAUC 6211                                                  II    1995X   Mueller
1995W   NGC 7650         1995 08 05  23 25.3 -57 48    9W  22S  16     IAUC 6206                                                  II    1995W   Williams, Martin
1995V   NGC 1087         1995 08 01  02 46.4 -00 30   21E   3S  15.0   IAUC 6197       02 46 26.77 -00 29 55.6   IAUC 6203        II    1995V   Evans
1995U   ESO 235-IG13     1995 07 29  20 54.7 -51 22             18     IAUC 6197       20 54 40.62 -51 22 26.8   IAUC 6197        Ia    1995U   McNaught
1995T   Anon.            1995 07 25  22 27.2 -09 30    6W   2S  18.0   IAUC 6195       22 27 12.41 -09 29 44.4   IAUC 6195        Ia    1995T   Pollas
1995S   NGC 4456         1995 07 03  12 27.9 -30 06   12E   3S  17.5   IAUC 6185       12 27 53.30 -30 05 55.4   IAUC 6185              1995S   McNaught
1995R   UGC 8801         1995 06 29  13 53.5 -01 12    9E  10N  18     IAUC 6182       13 53 32.60 -01 11 30.2   IAUC 6182        Ia    1995R   McNaught
1995Q   Anon.            1995 05 31  20 16.5 -43 24   20E   5S  18     IAUC 6176       20 16 29.51 -43 24 24.6   IAUC 6176        II    1995Q   McNaught
1995P   Anon.            1995 05 06  14 07.2 -02 44    1E   5N  18     IAUC 6175       14 07 14.33 -02 43 32.7   IAUC 6175        Ia    1995P   McNaught
1995O   Anon.            1995 05 03  16 35.9 +66 12             22     IAUC 6172       16 35 56.12 +66 11 44.0   IAUC 6172              1995O   Le Borgne, Sanahuja, Maddox
1995N   MCG -02-38-17    1995 05 05  14 49.5 -10 10   34W  19N  17.5   IAUC 6170       14 49 28.27 -10 10 15.4   IAUC 6160        IIn   1995N   Pollas
1995M   Anon.            1995 04 22  09 38.7 -12 20   13W   0   18.5   IAUC 6166       09 38 41.78 -12 20 07.9   IAUC 6166        Ia    1995M   McNaught
1995L   NGC 5157         1995 03 26  13 27.3 +32 02   19E   2N  20.0   IAUC 6165       13 27 18.34 +32 01 52.7   IAUC 6165        Ia    1995L   Pollas
1995K   Anon.            1995 03 30  10 50.8 -09 15    1W   1N  22.5   IAUC 6160       10 50 47.00 -09 15 07.4   IAUC 6160        Ia    1995K   Schmidt et al.
1995J   NGC 4512         1995 04 04  12 32.6 +63 54   30E  30N  16.5   IAUC 6157       12 32 38.34 +63 53 09.2   IAUC 6158        II    1995J   Johnson
1995I   Anon.            1995 02 28  13 21.0 +03 36    0W   6N  19.5   IAUC 6153       13 20 59.85 +03 35 56.2   IAUC 6153        II    1995I   Pollas
1995H   NGC 3526         1995 02 24  11 07.0 +07 10   17W   3S  16     IAUC 6145       11 06 55.42 +07 10 19.6   IAUC 6146        II    1995H   Mueller
1995G   NGC 1643         1995 02 23  04 43.6 -05 19    3E  15N  15.5   IAUC 6138       04 43 44.22 -05 18 53.8   IAUC 6140        IIp   1995G   Evans, Shobbrook, Beaman
1995F   NGC 2726         1995 02 10  09 04.9 +59 56    2E   1S  14.7   IAUC 6138       09 04 57.40 +59 55 58.7   IAUC 6165        Ic    1995F   Lane, Gray
1995E   NGC 2441         1995 02 20  07 52.2 +73 02    7E  22S  15     IAUC 6137       07 51 56.75 +73 00 34.6   IAUC 6138        Ia    1995E   Gabrijelcic
1995D   NGC 2962         1995 02 10  09 40.9 +05 08   11E  90S  14.0   IAUC 6134       09 40 54.75 +05 08 26.2   IAUC 6156        Ia    1995D   Kushida
1995C   Anon.            1995 02 08  12 04.0 -31 36   15E   8S  17.5   IAUC 6133       12 04 02.52 -31 36 02.3   IAUC 6133        Ia    1995C   McNaught
1995B   Anon.            1995 01 06  07 17.6 +21 49    3W   7S  19.0   IAUC 6132       07 17 33.82 +21 49 25.0   IAUC 6132        II    1995B   Pollas
1995A   MCG +04-16-6     1995 01 02  06 50.1 +26 23    1E   3N  18     IAUC 6131       06 50 04.63 +26 22 51.0   IAUC 6131        Ia    1995A   Pollas

1994ao  Anon.            1994 02 25  16 04.4 +43 04    1W   1S  28.1   IAUC 7700       16 04 23.3  +43 03 56     IAUC 7700        ?     1994ao  Gal-Yam, Sharon, Maoz
1994an  Anon.            1994 10 31  22 44.3 +00 07    0E   0N  22.3   IAUC 6263       22 44 18.87 +00 06 48.7   IAUC 6263        Ia    1994an  Supernova Cosmology Project
1994am  Anon.            1994 02 04  02 40.0 -01 37    1W   1S  21.7   IAUC 6263       02 40 02.06 -01 37 14.9   IAUC 6263        Ia    1994am  Supernova Cosmology Project
1994al  Anon.            1994 01 08  03 06.4 +17 19    1E   0N  22.6   IAUC 6263       03 06 22.45 +17 18 33.7   IAUC 6263        Ia    1994al  Supernova Cosmology Project
1994ak  NGC 2782         1994 12 24  09 14.0 +40 06   50W  30S  16.3   IAUC 6122       09 14 01.47 +40 06 21.5   IAUC 6123        IIn   1994ak  Kushida
1994aj  Anon.            1994 12 12  09 06.2 -10 40    5W   5N  18     IAUC 6121       09 06 11.25 -10 40 00.0   IAUC 6121        II    1994aj  Pollas
1994ai  NGC 908          1994 12 20  02 23.1 -21 14   24E   4N  17     IAUC 6120       02 23 06.17 -21 13 58.3   IAUC 6123        Ic    1994ai  Williams, Martin
1994ah  ESO 356-G19      1994 10 13  02 56.6 -33 55   12E   2N  18     IAUC 6114       02 56 37.75 -33 54 43.6   IAUC 6114        Ia    1994ah  McNaught
1994ag  Anon.            1994 11 11  03 53.5 -39 00    9E   3S  17.5   IAUC 6113       03 53 30.54 -39 00 27.7   IAUC 6113              1994ag  McNaught
1994af  Anon.            1994 11 27  03 05.4 -12 11    3E   0   18     IAUC 6110       03 05 21.25 -12 11 19.2   IAUC 6110        II    1994af  McNaught
1994ae  NGC 3370         1994 11 14  10 47.1 +17 16   30W   6N  15.4   IAUC 6105       10 47 01.95 +17 16 31.0   IAUC 6110        Ia    1994ae  Van Dyk, Treffers, Richmond, Filippenko, Paik
1994ad  ESO 152-G26      1994 11 10  01 49.5 -56 03    1W  34N  18     IAUC 6103       01 49 27.86 -56 02 38.0   IAUC 6103        II    1994ad  McNaught
1994ac  UGC 12799        1994 09 11  23 49.9 +02 42    3W   6S  18.5   IAUC 6089       23 49 53.53 +02 42 10.2   IAUC 6089        II    1994ac  McNaught
1994ab  MCG -05-50-8     1994 09 17  21 17.0 -28 19    5W  17S  17     IAUC 6089       21 16 56.75 -28 19 51.4   IAUC 6089        Ia    1994ab  McNaught
1994aa  NGC 1320         1994 09 11  03 24.8 -03 02   10E   2N  17     IAUC 6088       03 24 49.40 -03 02 33.6   IAUC 6088        Ia    1994aa  McNaught
1994Z   NGC 87           1994 10 02  00 21.3 -48 37   36E  12S  14.6   IAUC 6087       00 21 16.60 -48 37 49.5   IAUC 6087        II    1994Z   Wassilieff
1994Y   NGC 5371         1994 08 19  13 55.7 +40 28   34W  11N  15.0   IAUC 6058       13 55 36.91 +40 27 53.6   IAUC 6065        IIn   1994Y   Wren
1994X   Anon.            1994 08 15  00 17.8 -24 37    1E  16S  18.5   IAUC 6056       00 17 52.16 -24 37 10.9   IAUC 6056        Ia    1994X   McNaught
1994W   NGC 4041         1994 07 29  12 02.2 +62 08    9W  18N  13.5   IAUC 6042       12 02 10.93 +62 08 32.8   IAUC 6043        IIp   1994W   Cortini, Villi
1994V   MCG -03-38-25    1994 07 14  14 54.7 -17 25    3W  22S  17     IAUC 6012       14 54 40.40 -17 24 42.6   IAUC 6022              1994V   McNaught
1994U   NGC 4948         1994 06 27  13 04.9 -07 57             14     IAUC 6011       13 04 56.13 -07 56 51.5   IAUC 6018        Ia    1994U   Barker
1994T   Anon.            1994 06 11  13 19.0 -02 09    1E  11S  16.0   IAUC 6007       13 18 59.84 -02 09 01.6   IAUC 6008        Ia    1994T   Peters, Challis
1994S   NGC 4495         1994 06 04  12 31.3 +29 09   13W   7S  14.5   IAUC 6005       12 31 21.86 +29 08 04.2   IAUC 6016        Ia    1994S   Mitchell
1994R   IC 2627          1994 06 03  11 10.0 -23 43   22W   1N  16     IAUC 6003                                                  II    1994R   Martin, Williams
1994Q   Anon.            1994 06 02  16 49.9 +40 26    0W   4S  16.5   IAUC 6001       16 49 51.14 +40 25 55.8   IAUC 6001        Ia    1994Q   Pollas
1994P   UGC 6983         1994 04 20  11 59.4 +52 43  105E  31N  18.2   IAUC 5989       11 59 21.07 +52 42 59.0   IAUC 5989        II    1994P   Sackett
1994O   Mkn  268         1994 05 06  13 41.2 +30 23    2W   2N  18.5   IAUC 5988       13 41 10.98 +30 22 43.6   IAUC 5988        Ia    1994O   Pollas
1994N   UGC 5695         1994 05 10  10 29.8 +13 01    2E  10N  17.5   IAUC 5987                                                  II    1994N   Turatto
1994M   NGC 4493         1994 04 29  12 31.2 +00 36    3E  28S  16     IAUC 5982       12 31 08.61 +00 36 19.9   IAUC 5984        Ia    1994M   Wild
1994L   NGC 2848         1994 04 08  09 20.3 -16 32   20W  20S  14.7   IAUC 5975                                                  II    1994L   Brown
1994K   Anon.            1994 04 01  10 00.4 +12 53   22W  15N  17.5   IAUC 5972       10 00 24.61 +12 52 31.6   IAUC 5972        Ia    1994K   Mueller
1994J   Anon.            1994 03 05  10 01.6 +54 35    3E   3S  19     IAUC 5971       10 01 36.76 +54 34 56.5   IAUC 5971        Ia    1994J   Pollas
1994I   NGC 5194         1994 04 02  13 29.9 +47 12   14E  12S  13.5   IAUC 5961       13 29 54.01 +47 11 31.7   IAUC 5961        Ic?   1994I   Puckett, Armstrong; Johnson, Millar; Berry; Kushida
1994H   Anon.            1994 01 08  02 40.0 -01 34    1W   0   21.9   IAUC 5956       02 40 04.73 -01 34 06.5   IAUC 5956        Ia    1994H   Perlmutter, Pennypacker, et al.
1994G   Anon.            1994 02 13  10 19.5 +50 52    1E   0   21.8   IAUC 5956       10 19 26.68 +50 52 19.5   IAUC 5956        I     1994G   Perlmutter, Pennypacker, et al.
1994F   Anon.            1994 01 09  11 50.0 +10 43    3W   0   22     IAUC 5956       11 49 59.54 +10 42 58.0   IAUC 5956        Ia    1994F   Perlmutter, Pennypacker, et al.
1994E   Anon.            1994 03 05  11 32.1 +55 21    0    4S  19     IAUC 5952       11 32 06.96 +55 21 34.7   IAUC 5952        Ia    1994E   Pollas
1994D   NGC 4526         1994 03 07  12 34.0 +07 41    9W   7N  15.2   IAUC 5946       12 34 02.45 +07 42 04.7   IAUC 5951        Ia    1994D   Treffers, Filippenko, Van Dyk, Richmond
1994C   Anon.            1994 03 05  07 56.6 +44 52    2W   7N  18     IAUC 5946       07 56 40.27 +44 52 19.3   IAUC 5946        Ia    1994C   Mueller
1994B   Anon.            1994 01 16  08 20.7 +15 43    4E   4N  19.0   IAUC 5923       08 20 40.92 +15 43 48.4   IAUC 5923        Ia    1994B   Pollas
1994A   UGC 8214         1994 01 11  13 07.7 +62 13    3E  10S  18     IAUC 5923                                                  II    1994A   Mueller

1993al  Anon.            1993 12 22  12 22.2 -01 08    2W   0S  22.6   IAUC 6263       12 22 12.62 -01 08 24.5   IAUC 6263              1993al  Supernova Cosmology Project
1993ak  UGC 8685         1993 03 30  13 43.2 +30 20   25E   0   16.5   IAUC 6000       13 43 10.96 +30 20 12.5   IAUC 6004              1993ak  Meusinger
1993aj  Anon.            1993 12 27  12 04.4 -00 44    4W   4S  17     IAUC 5915       12 04 21.15 -00 43 13.9   IAUC 5915        Ia    1993aj  Pollas
1993ai  UGC 3483         1993 12 10  06 33.2 +51 21   24W   0   18     IAUC 5912                                                  Ia    1993ai  Mueller
1993ah  ESO 471-27       1993 11 16  23 51.8 -27 58    1W   8N  17     IAUC 5895       23 51 50.27 -27 57 47.0   AJ 112, 2408     Ia    1993ah  Wischnjewsky
1993ag  Anon.            1993 11 15  10 03.6 -35 28    5W   6S  18.5   IAUC 5895       10 03 35.00 -35 27 47.6   AJ 112, 2408     Ia    1993ag  Antezana
1993af  NGC 1808         1993 11 15  05 07.7 -37 31  220E  94N  17     IAUC 5895       05 08 00.71 -37 29 18.0   AJ 112, 2408     Ia    1993af  Wischnjewsky
1993ae  IC 126           1993 11 07  01 29.8 -01 59   16E  24N  16.5   IAUC 5888       01 29 48.92 -01 58 37.2                    Ia    1993ae  Pollas
1993ad  IC 1501          1993 11 07  23 34.8 -03 08   13E  23S  18     IAUC 5887       23 34 40.97 -03 09 33.1                    II    1993ad  Pollas
1993ac  Anon.            1993 10 13  05 46.3 +63 21    4W  32N  18     IAUC 5879       05 46 23.55 +63 22 07.0                    Ia    1993ac  Mueller
1993ab  NGC 1164         1993 09 24  03 02.0 +42 36   18E  12S  18     IAUC 5871                                                  Ia    1993ab  Mueller
1993aa  Anon.            1993 09 19  23 03.4 -06 21    0    0   18     IAUC 5871       23 03 22.08 -06 20 56.2                    Ia    1993aa  Pollas
1993Z   NGC 2775         1993 09 23  09 10.4 +07 02   15W  42S  13.9   IAUC 5870       09 10 19.60 +07 01 40.3                    Ia    1993Z   Treffers, Filippenko, Leibundgut, Paik, Lee, Richmond
1993Y   UGC 2771         1993 09 18  03 31.4 +39 45    9E  38N  17     IAUC 5870       03 31 24.41 +39 45 02.6                    Ia    1993Y   Mueller
1993X   NGC 2276         1993 08 22  07 27.3 +85 45   30E  69N  16.3   IAUC 5850       07 27 40.6  +85 46 26.2   IAUC 5853        II    1993X   Treffers, Filippenko, Leibundgut, Paik, Lee, Richmond
1993W   Anon.            1993 08 18  23 29.7 -03 02    2E   9S  16     IAUC 5848       23 29 40.07 -03 02 25.8   IAUC 5848        II    1993W   Pollas
1993V   Anon.            QSO                                           IAUC 5818       15 31 01.77 +50 17 47.8   IAUC 5818              1993V   Pollas
1993U   Anon.            QSO                                           IAUC 5818       15 25 14.95 +50 34 38.7   IAUC 5818              1993U   Pollas
1993T   Anon.            1993 05 26  23 10.9 -44 59   18W  14N  18     IAUC 5812       23 10 54.09 -44 58 48.6   AJ 112, 2408     Ia    1993T   Antezana
1993S   Anon.            1993 05 26  22 52.4 -40 19    8W   7N  17.5   IAUC 5812                                                  II    1993S   Antezana
1993R   NGC 7742         1993 06 02  23 44.2 +10 46    8E   5N  17     IAUC 5812                                                  II    1993R   Treffers, Leibundgut, Filippenko, Richmond
1993Q   Anon.            1993 05 28  20 35.8 -42 48    9E   3S  19     IAUC 5809       20 35 46.94 -42 47 33.4   IAUC 5809        Ia    1993Q   McNaught
1993P   Anon.            1993 05 18  13 29.4 -30 24             17.5   IAUC 5799       13 29 25.8  -30 24 47     IAUC 5799        Ic    1993P   Antezana
1993O   Anon.            1993 05 18  13 31.1 -33 13   14W   8N  17.5   IAUC 5799       13 31 07.87 -33 12 50.5   AJ 112, 2408     Ia    1993O   Antezana
1993N   UGC 5695         1993 04 15  10 29.8 +13 01    7W   9N  17.5   IAUC 5784                                                  IIp   1993N   Mueller
1993M   Anon.            1993 04 28  19 13.1 -64 17    1W   3S  18.5   IAUC 5783       19 13 01.53 -64 17 28.3   AJ 112, 2408     Ia    1993M   Antezana
1993L   IC 5270          1993 04 30  22 58.0 -35 51   40W  15N  14     IAUC 5780       22 57 52.87 -35 51 27.0   IAUC 5780        Ia    1993L   Evans
1993K   NGC 2223         1993 03 28  06 24.6 -22 51   30E  31N  14.5   IAUC 5733                                                  II    1993K   Williams, Martin
1993J   NGC 3031         1993 03 28  09 55.4 +69 01   45W 160S  10.2   IAUC 5731       09 55 25.00 +69 01 13.0   IAUC 5731        IIb   1993J   Garcia
1993I   MCG +02-32-144   1993 03 23  12 34.7 +09 00   14W   9S  18.0   IAUC 5728       12 34 42.70 +09 00 07.9   IAUC 5728        Ia    1993I   Pollas
1993H   ESO 445-G66      1993 03 18  13 52.9 -30 43    1E  12N  16.5   IAUC 5723       13 52 50.34 -30 42 23.3   AJ 112, 2408     Ia    1993H   Wischnjewsky
1993G   NGC 3690         1993 03 05  11 28.5 +58 33    2W  15S  16.6   IAUC 5718       11 28 33.44 +58 33 31.2   IAUC 5719        II    1993G   Treffers, Leibundgut, Filippenko, Richmond
1993F   Anon.            1993 01 18  07 57.3 +20 05    1E   2S  18     IAUC 5717       07 57 21.64 +20 04 59.4   IAUC 5717              1993F   Pollas
1993E   Anon.            1993 01 27  09 43.7 +49 18   11W   8N  19     IAUC 5709       09 43 44.15 +49 17 55.8   IAUC 5709        II    1993E   Pollas
1993D   Anon.            1993 02 01  11 29.0 -22 30   11W   7S  18     IAUC 5703       11 28 58.80 -22 29 06.3   IAUC 5703        Ia    1993D   McNaught
1993C   NGC 2954         1993 01 27  09 40.4 +14 56    5W  50N  18     IAUC 5699       09 40 23.82 +14 56 11.5   IAUC 5699        Ia    1993C   Pollas
1993B   Anon.            1993 01 17  10 34.9 -34 27    1E   5N  18     IAUC 5693       10 34 51.38 -34 26 30.0   AJ 112, 2408           1993B   Antezana
1993A   Anon.            1993 01 17  07 39.3 -62 03    6W   4S  18.5   IAUC 5693                                                        1993A   Wischnjewsky

1992bu  NGC 3690         1992 03 09  11 28.5 +58 33    5E   3S  16.6   IAUC 5960       11 28 31.5  +58 33 39     IAUC 5960              1992bu  Van Buren, Jarrett, Terebey, Beichman, Shure, Kamins
1992bt  NGC 3780         1992 12 19  11 39.5 +56 16   22W   1N  16     IAUC 5841       11 39 19.76 +56 16 15.9   AJ 111, 2017     II    1992bt  Treffers, Leibundgut, Filippenko, Richmond
1992bs  Anon.            1992 12 28  03 29.5 -37 17    9W   4N  18     IAUC 5686       03 29 27.2  -37 16 18.9   AJ 112, 2408     Ia    1992bs  Gonzalez
1992br  Anon.            1992 12 27  01 45.7 -56 06    2E   7S  18.5   IAUC 5686       01 45 44.83 -56 05 57.9   AJ 112, 2408     Ia    1992br  Wischnjewsky
1992bq  Anon.            1992 12 20  10 16.9 -34 45   15E   1S  17     IAUC 5683       10 16 57.1  -34 45 08     IAUC 5683              1992bq  Antezana
1992bp  Anon.            1992 12 20  03 36.7 -18 21    6W   2S  18     IAUC 5682       03 36 37.95 -18 21 13.7   AJ 112, 2408     Ia    1992bp  Antezana
1992bo  ESO 352-G57      1992 12 20  01 22.0 -34 11   48W  55S  17     IAUC 5682       01 21 58.44 -34 12 43.5   AJ 112, 2408     Ia    1992bo  Antezana
1992bn  Anon.            1992 12 13  01 28.9 +09 08    1W   7N  19     IAUC 5678       01 28 58.22 +09 08 54.5   IAUC 5678              1992bn  Pollas
1992bm  Anon.            1992 11 25  07 33.3 +50 29    0   11S  18     IAUC 5672       07 33 18.88 +50 28 09.3   IAUC 5672        II    1992bm  Mueller
1992bl  ESO 291-G11      1992 11 20  23 15.2 -44 45   15E  22S  17     IAUC 5660       23 15 13.25 -44 44 34.5   AJ 112, 2408     Ia    1992bl  Antezana
1992bk  ESO 156-G08      1992 11 19  03 43.0 -53 38   12E  21N  18     IAUC 5660       03 43 01.90 -53 37 56.8   AJ 112, 2408     Ia    1992bk  Wischnjewsky
1992bj  Anon.            1992 10 17  23 21.9 +25 09    0    5N  18     IAUC 5656       23 21 50.86 +25 09 33.6   IAUC 5656        II    1992bj  Pollas
1992bi  Anon.            1992 04 21  16 10.2 +39 47    2E   1N  22     IAUC 5652       16 10 12.80 +39 47 12.6   IAUC 5652        Ia    1992bi  Pennypacker, Perlmutter, et al.
1992bh  Anon.            1992 10 21  04 59.5 -58 50    1E   2S  17.3   IAUC 5645       04 59 27.55 -58 49 44.2   AJ 112, 2408     Ia    1992bh  Antezana
1992bg  Anon.            1992 10 21  07 41.9 -62 31    3W   6N  17.8   IAUC 5645       07 41 56.53 -62 31 08.8   AJ 112, 2408     Ia    1992bg  Antezana
1992bf  NGC 930          1992 10 02  02 27.9 +20 19    9E  11S  17     IAUC 5642                                                  I     1992bf  Mueller
1992be  Anon.            1992 09 30  04 02.6 +27 47    3W  10N  17     IAUC 5640       04 02 32.69 +27 47 14.4   IAUC 5640        II    1992be  Mueller
1992bd  NGC 1097         1992 10 12  02 46.3 -30 16    2E   9S  15     IAUC 5638                                                  II    1992bd  Smith, Wells
1992bc  ESO 300-G09      1992 10 04  03 05.3 -39 33   15E   5N  15     IAUC 5630       03 05 17.28 -39 33 39.7   AJ 112, 2408     Ia    1992bc  Antezana
1992bb  IRAS 21156-0747  1992 09 30  21 18.3 -07 35   19W   4N  17.5   IAUC 5629       21 18 14.86 -07 35 03.5   IAUC 5629        Ia    1992bb  McNaught
1992ba  NGC 2082         1992 09 30  05 41.9 -64 19   60W   0   14.0   IAUC 5625       05 41 47.16 -64 18 00.8   IAUC 5630        II    1992ba  Evans
1992az  NGC 818          1992 09 27  02 08.8 +38 46   29E  16S  18     IAUC 5625       02 08 46.97 +38 46 21.3   IAUC 5625        II    1992az  Pollas
1992ay  Anon.            1992 09 20  04 30.3 -46 25    6E   6N  18.5   IAUC 5619       04 30 19.1  -46 24 07     IAUC 5627        IIp   1992ay  Antezana
1992ax  Anon.            1992 09 03  22 10.4 +45 02    0   20S  18.5   IAUC 5607       22 10 27.15 +45 02 32.0   IAUC 5652        I     1992ax  Mueller
1992aw  Anon.            1992 08 27  19 06.9 +51 03   13E   7N  18     IAUC 5606       19 06 55.19 +51 02 55.0   IAUC 5633        II    1992aw  Mueller
1992av  Anon.            1992 08 21  17 43.0 +67 49   11E   5N  20     IAUC 5595       17 43 04.88 +67 49 07.1   IAUC 5595        Ia    1992av  Pollas
1992au  Anon.            1992 07 29  00 10.7 -49 57   21E   9N  17     IAUC 5584       00 10 40.27 -49 56 43.3   AJ 112, 2408     Ia    1992au  Antezana
1992at  Anon.            1992 08 04  21 27.2 -37 00    6E  11S  18     IAUC 5577       21 27 09.20 -36 59 58.4   IAUC 5577              1992at  McNaught
1992as  Anon.            1992 08 01  21 03.9 -44 39    3W   4S  18.5   IAUC 5575                                                        1992as  Gonzalez
1992ar  Anon.            1992 07 27  23 17.5 -44 39    2W   5S  19     IAUC 5574                                                        1992ar  Antezana
1992aq  Anon.            1992 07 26  23 04.6 -37 21    2E   7S  19     IAUC 5574       23 04 34.76 -37 20 42.1   AJ 112, 2408           1992aq  Antezana
1992ap  UGC 10430        1992 07 29  16 30.5 +41 29    7E  16N  18     IAUC 5573                                                  Ia    1992ap  Birkle
