Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 2001fu Ia  Ia,Ia-norm  sn2001fu-20011116-ui.flm  20011116.0  None | 11 Kast  3300.0 - 10400.0  39.948  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001gc Ia  Ia,Ia-norm,Ia-pec sn2001gc-20020114-ui.flm  20020114.0  None | 54 Kast  3300.0 - 10400.0  22.7955 Li, Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ib Ia  Ia,Ia-norm  sn2001ib-20011211-ui.flm  20011211.0  None | 4  Kast  3300.0 - 10400.0  11.0637 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ib Ia  Ia,Ia-norm  sn2001ib-20020114-ui.flm  20020114.0  None | 38 Kast  3268.0 - 10570.0  12.37 Li, Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001ic Ia  NotSN,Gal,M-star  sn2001ic-20011211-ui.flm  20011211.0  7.7 | 4 Kast  3668.0 - 10400.0  11.9094 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2001ic Ia  Ia,Ia-norm  sn2001ic-20011223-br.flm  20011223.0  19.2 | 16 LRIS  3548.0 - 10300.0  17.3197 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001iq Ia  Ia,Ia-norm  sn2001iq-20011223-br.flm  20011223.0  None | 9  LRIS  3384.0 - 10300.0  56.5274 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2001iq Ia  Ia,Ia-norm  sn2001iq-20020114-ui.flm  20020114.0  None | 31 Kast  3268.0 - 10570.0  25.474  Li, Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002G  Ia  Ia,Ia-norm  sn2002g-20020211-ui.flm 20020211.0  15.5 | 24 Kast  3300.0 - 10400.0  6.48107 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2002ar Ia  Ia,Ia-norm  sn2002ar-20020211-ui.flm  20020211.0  None | 8  Kast  3300.0 - 10400.0  9.25366 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2002av Ia  Ia,Ia-norm  sn2002av-20020214-us.flm  20020214.0  None | 6  LRIS  3400.0 - 6400.0 45.0369 Alex Filippenko, Aaron Barth | Douglas Leonard  2012MNRAS.425.1789S
SN 2002av Ia  NoMatch,NoMatch sn2002av-20020214-is.flm  20020214.0  None | 6  LRIS  7000.0 - 10100.0  7.8144  Alex Filippenko, Aaron Barth | Douglas Leonard  2012MNRAS.425.1789S
SN 2002av Ia  Ia,Ia-norm  sn2002av-20020211-ui.flm  20020211.0  None | 3  Kast  3300.0 - 10400.0  15.5832 Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2002aw Ia  Ia,Ia-norm  sn2002aw-20020307-os.flm  20020307.0  None | 20 LRIS  3900.0 - 8800.0 52.7761 Alex Filippenko, Douglas Leonard, Ed Moran | Douglas Leonard  2012MNRAS.425.1789S
SN 2002aw Ia  Ia,Ia-norm  sn2002aw-20020221-ui.flm  20020221.0  None | 6  Kast  3300.0 - 10400.0  30.3731 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bf Ia  Ia,Ia-norm  sn2002bf-20020307-os.flm  20020307.0  2.0 | 13  LRIS  3900.0 - 8800.0 125.625 Alex Filippenko, Douglas Leonard, Ed Moran | Douglas Leonard  2005ApJ...632..450L
SN 2002bf Ia  Ia,Ia-norm  sn2002bf-20020311-ui.flm  20020311.0  5.9 | 17  Kast  3300.0 - 10400.0  7.70047 Weidong Li, Ryan Chornock | Ryan Foley  2005ApJ...632..450L
SN 2002bg Ia  Ia,Ia-norm  sn2002bg-20020307-os.flm  20020307.0  None | 12 LRIS  3900.0 - 8800.0 42.0388 Alex Filippenko, Douglas Leonard, Ed Moran | Douglas Leonard  2012MNRAS.425.1789S
SN 2002bi Ia  Ia,Ia-norm  sn2002bi-20020307-os.flm  20020307.0  None | 10 LRIS  3900.0 - 8800.0 34.3387 Alex Filippenko, Douglas Leonard, Ed Moran | Douglas Leonard  2012MNRAS.425.1789S
SN 2002bk Ia  Ia,Ia-91T,Ia-norm sn2002bk-20020307-os.flm  20020307.0  None | 26 LRIS  3900.0 - 8800.0 39.5416 Alex Filippenko, Douglas Leonard, Ed Moran | Douglas Leonard  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020507-ui.flm  20020507.0  44.8 | 59 Kast  3300.0 - 10400.0  32.8494 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020519-ui.flm  20020519.0  56.8 | 71 Kast  3300.0 - 10400.0  25.1323 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020322-ui.flm  20020322.0  -1.0 | 13 Kast  3300.0 - 10400.0  39.8117 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020608-ui.flm  20020608.0  76.7 | 91 Kast  3188.0 - 10400.0  19.0842 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002bo Ia  II,IIP  sn2002bo-20020311-ui.flm  20020311.0  -11.9 | 2 Kast  3300.0 - 10400.0  37.8377 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020408-ui.flm  20020408.0  15.9 | 30 Kast  3300.0 - 10400.0  51.326  Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-norm  sn2002bo-20020420-ui.flm  20020420.0  27.9 | 42 Kast  3300.0 - 10400.0  55.1014 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bo Ia  Ia,Ia-99aa,Ia-norm  sn2002bo-20021106.657-joined.flm  20021106.657  227.0 | 242 ESI 3949.89 - 10199.0 2.07749 Alex Filippenko, Ryan Chornock, Surabh Jha | Ryan Chornock  2012MNRAS.425.1789S
SN 2002bp Ia-pec  Ia,Ia-02cx  sn2002bp-20020408-ui.flm  20020408.0  None | 31 Kast  3398.0 - 10360.0  2.65689 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bs Ia  Ia,Ia-norm  sn2002bs-20020408-ui.flm  20020408.0  None | 28 Kast  3300.0 - 10400.0  36.5829 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002bz Ia  Ia,Ia-norm  sn2002bz-20020408-ui.flm  20020408.0  4.8 | 5 Kast  3300.0 - 10400.0  19.7679 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cc Ia  Ia,Ia-norm  sn2002cc-20020420-ui.flm  20020420.0  None | 16 Kast  3300.0 - 10400.0  5.20886 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cd Ia  Ia,Ia-norm  sn2002cd-20020507-ui.flm  20020507.0  17.8 | 29 Kast  3300.0 - 10400.0  28.2443 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cd Ia  Ia,Ia-norm  sn2002cd-20020617-ui.flm  20020617.0  58.4 | 70 Kast  3232.0 - 10400.0  12.6314 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cd Ia  Ia,Ia-norm  sn2002cd-20020420-ui.flm  20020420.0  1.0 | 12  Kast  3300.0 - 10400.0  36.9704 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cf Ia  Ia,Ia-norm,Ia-02cx  sn2002cf-20020507-ui.flm  20020507.0  None | 24 Kast  3300.0 - 10400.0  10.7365 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cf Ia  Ia,Ia-91bg,Ia-norm  sn2002cf-20020420-ui.flm  20020420.0  None | 7  Kast  3300.0 - 10400.0  37.1016 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002ci Ia  Ia,Ia-norm  sn2002ci-20020420-ui.flm  20020420.0  None | 1  Kast  3300.0 - 10400.0  10.3132 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002ck Ia  Ia,Ia-norm  sn2002ck-20020507-ui.flm  20020507.0  4.9 | 14  Kast  3300.0 - 10400.0  21.7872 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cr Ia  Ia,Ia-norm  sn2002cr-20020507-ui.flm  20020507.0  -6.9 | 6  Kast  3300.0 - 10400.0  60.1191 Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cr Ia  Ia,Ia-norm  sn2002cr-20020617-ui.flm  20020617.0  33.7 | 47 Kast  3124.0 - 10400.0  39.6567 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cr Ia  Ia,Ia-norm  sn2002cr-20020608-ui.flm  20020608.0  24.8 | 38 Kast  3170.0 - 10400.0  29.6845 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cr Ia  Ia,Ia-norm  sn2002cr-20020711-ui.flm  20020711.0  57.5 | 71 Kast  3200.0 - 10400.0  26.1496 Alex Filippenko, Ryan Chornock, Ryan Foley, Eliot Quataert | Ryan Foley 2012MNRAS.425.1789S
SN 2002cr Ia  Ia,Ia-norm  sn2002cr-20020809-ui.flm  20020809.0  86.2 | 100  Kast  3200.0 - 10400.0  9.5328  Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020507-ui.flm  20020507.0  None | 2  Kast  3300.0 - 10400.0  46.142  Weidong Li, Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020617-ui.flm  20020617.0  None | 43 Kast  3186.0 - 10400.0  36.4282 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020608-ui.flm  20020608.0  None | 34 Kast  3192.0 - 10400.0  12.2657 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020913-ui.flm  20020913.0  None | 131  Kast  3188.0 - 10400.0  13.0261 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020810-ui.flm  20020810.0  None | 97 Kast  3200.0 - 10400.0  16.0982 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20020711.330-ui.flm  20020711.33 None | 67 Kast  3300.0 - 10400.0  19.1796 Alex Filippenko, Ryan Chornock, Ryan Foley, Eliot Quataert | Ryan Foley 2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20021008-br.flm  20021008.0  None | 156  LRIS  3060.5 - 9420.0 25.2963 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002cs Ia  Ia,Ia-norm  sn2002cs-20021106.210-joined.flm  20021106.21 None | 185  ESI 3949.96 - 10199.2 8.68433 Alex Filippenko, Ryan Chornock, Surabh Jha | Ryan Chornock  2012MNRAS.425.1789S
SN 2002cu Ia  Ia,Ia-99aa,Ia-norm  sn2002cu-20020608-ui.flm  20020608.0  None | 28 Kast  3100.0 - 10400.0  12.1726 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002cu Ia  Ia,Ia-norm  sn2002cu-20020517.flm 20020517.0  None | 6  R.C. Spectrograph 4898.75 - 8248.19 36.614  M. Bershady, Paul Nandra | Ryan Foley 2012MNRAS.425.1789S
SN 2002cv Ia-pec  Ic,Ic-norm  sn2002cv-20020519-ui.flm  20020519.0  None | 6  Kast  3300.0 - 10400.0  5.17134 Weidong Li, Ryan Chornock | Ryan Foley  2008MNRAS.384..107E
SN 2002cv Ia-pec  Ic,Ic-norm  sn2002cv-20020608-ui.flm  20020608.0  None | 26 Kast  3332.0 - 10400.0  4.59493 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2008MNRAS.384..107E
SN 2002cx Ia  Ia,Ia-norm,Ia-02cx  sn2002cx-20020615-br.flm  20020615.0  24.4 | 34 LRIS  3162.5 - 9340.0 31.5066 Kulkarni, Berger | Ryan Chornock  2003PASP..115..453L
SN 2002cx Ia  Ia,Ia-norm,Ia-02cx  sn2002cx-20020616-blue.flm  20020616.0  25.4 | 35 LRIS  3040.0 - 5800.0 18.8189 Graeme Smith | Ryan Chornock  2003PASP..115..453L
SN 2002cx Ia  Ia,Ia-02cx  sn2002cx-20020617-red.flm 20020617.0  26.4 | 36 LRIS  5470.0 - 9230.0 38.0699 Graeme Smith | Ryan Chornock  2003PASP..115..453L
SN 2002cx Ia  Ia,Ia-norm,Ia-02cx  sn2002cx-20020716-red.flm 20020716.0  54.7 | 65 LRIS  4300.0 - 9260.0 19.3368 Fassnacht, Squires | Ryan Chornock  2003PASP..115..453L
SN 2002cx Ia  Ia,Ia-norm,Ia-02cx  sn2002cx-20020610-esi.flm 20020610.0  19.5 | 29 ESI 4000.88 - 10298.9 33.2242 Wal Sargent, Rob Simcoe | Ryan Chornock 2003PASP..115..453L
SN 2002cx Ia  Ia,Ia-91bg,Ia-norm  sn2002cx-20030107-br.flm  20030107.0  225.6 | 240 LRIS  3300.5 - 9430.0 5.42969 Alex Filippenko, Ryan Chornock | Ryan Chornock  2006AJ....132..189J
SN 2002cx Ia  Ia,Ib,IIP,Ia-norm sn2002cx-20030228-br.flm  20030228.0  276.4 | 292 LRIS  3160.5 - 9420.0 7.50398 Alex Filippenko, Ryan Chornock | Ryan Chornock  2006AJ....132..189J
SN 2002cx Ia  NoMatch,NoMatch sn2002cx-20030228-red1200.flm 20030228.0  276.4 | 292 LRIS  6260.0 - 7540.18  5.93122 Alex Filippenko, Ryan Chornock | Ryan Chornock  2006AJ....132..189J
SN 2002db Ia  Ia,Ia-norm  sn2002db-20020608-ui.flm  20020608.0  None | 21 Kast  3160.0 - 10400.0  13.5622 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002de Ia  Ia,Ia-norm  sn2002de-20020617-ui.flm  20020617.0  8.8 | 16  Kast  3322.0 - 9868.0 26.86 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002de Ia  Ia,Ia-99aa,Ia-norm  sn2002de-20020608.374-ui.flm  20020608.374  0.0 | 7 Kast  3176.0 - 10400.0  20.0543 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002df Ia  Ia,Ia-norm  sn2002df-20020608-ui.flm  20020608.0  None | 6  Kast  3200.0 - 10400.0  8.91621 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002di Ia  Ia,Ic-norm,Ia-91bg  sn2002di-20020617-ui.flm  20020617.0  None | 8  Kast  3226.0 - 10400.0  10.2415 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002dj Ia  Ia,Ia-norm  sn2002dj-20020617-ui.flm  20020617.0  -8.9 | 5  Kast  3134.0 - 10400.0  48.9458 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002dk Ia  Ia,Ia-91bg  sn2002dk-20020617-ui.flm  20020617.0  None | 4  Kast  3174.0 - 10400.0  25.9679 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2002do Ia  Ia,Ia-norm  sn2002do-20020711.455-ui.flm  20020711.455  23.6 | 24 Kast  3400.0 - 10400.0  13.9445 Alex Filippenko, Ryan Chornock, Ryan Foley, Eliot Quataert | Ryan Foley 2012MNRAS.425.1789S
SN 2002dp Ia  Ia,Ia-norm  sn2002dp-20020903-ui.flm  20020903.0  68.2 | 77 Kast  3150.0 - 10400.0  30.1763 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002dp Ia  Ia,Ia-norm  sn2002dp-20020809-ui.flm  20020809.0  43.5 | 52 Kast  3110.0 - 10400.0  33.5398 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002dp Ia  Ia,Ia-norm  sn2002dp-20020711-ui.flm  20020711.0  14.8 | 23 Kast  3100.0 - 10400.0  45.419  Alex Filippenko, Ryan Chornock, Ryan Foley, Eliot Quataert | Ryan Foley 2012MNRAS.425.1789S
SN 2002dp Ia  Ia,Ia-91T,Ia-norm sn2002dp-20021008-br.flm  20021008.0  102.8 | 112 LRIS  3070.5 - 9420.0 5.945 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002dp Ia  Ia,Ia-norm  sn2002dp-20021109-joined.flm  20021109.0  134.4 | 144 ESI 3949.94 - 10199.1 11.6149 Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012MNRAS.425.1789S
SN 2002dr Ia  Ia,Ic,Ic-norm,Ia-02cx sn2002dr-20020809-ui.flm  20020809.0  None | 46 Kast  3308.0 - 10400.0  6.24016 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002dx Ia  Ia,Ia-norm  sn2002dx-20020809-ui.flm  20020809.0  None | 32 Kast  3202.0 - 10400.0  5.73  Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eb Ia  Ia,Ia-norm  sn2002eb-20020903-ui.flm  20020903.0  None | 43 Kast  3150.0 - 10400.0  27.1921 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eb Ia  Ia,Ia-99aa,Ia-norm  sn2002eb-20020809-ui.flm  20020809.0  None | 18 Kast  3110.0 - 10400.0  48.5239 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eb Ia  Ia,Ia-norm  sn2002eb-20021008-br.flm  20021008.0  None | 78 LRIS  3094.5 - 9420.0 8.34147 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002ec Ia  Ia,Ia-norm  sn2002ec-20020903-ui.flm  20020903.0  None | 42 Kast  3372.0 - 10400.0  4.53914 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002ec Ia  Ia,Ia-norm  sn2002ec-20020809-ui.flm  20020809.0  None | 17 Kast  3194.0 - 10400.0  11.4566 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002ef Ia  Ia,Ia-norm  sn2002ef-20020903-ui.flm  20020903.0  None | 35 Kast  3150.0 - 10400.0  28.7066 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002ef Ia  Ia,Ia-norm  sn2002ef-20020809-ui.flm  20020809.0  None | 10 Kast  3110.0 - 10400.0  20.2892 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eh Ia  Ia,Ia-99aa,Ia-norm  sn2002eh-20020809-ui.flm  20020809.0  None | 8  Kast  3152.0 - 10400.0  17.7607 Alex Filippenko, Ryan Foley, Marina Papenkova, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002el Ia  Ia,Ia-99aa,Ia-norm  sn2002el-20020913-ui.flm  20020913.0  None | 32 Kast  3190.0 - 10400.0  25.0186 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012MNRAS.425.1789S
SN 2002el Ia  Ia,Ia-norm,Ia-pec sn2002el-20021001-ui.flm  20021001.0  None | 50 Kast  3366.0 - 10400.0  8.98298 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2002el Ia  Ia,Ia-norm  sn2002el-20020903-ui.flm  20020903.0  None | 22 Kast  3150.0 - 10400.0  29.7366 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002ep Ia  Ia,Ia-norm  sn2002ep-20020903-ui.flm  20020903.0  None | 28 Kast  3242.0 - 10400.0  11.1847 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002er Ia  Ia,Ia-norm  sn2002er-20020913-ui.flm  20020913.0  5.9 | 21  Kast  3188.0 - 10400.0  59.1816 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012MNRAS.425.1789S
SN 2002er Ia  Ia,Ia-norm  sn2002er-20021001-ui.flm  20021001.0  23.8 | 39 Kast  3100.0 - 10400.0  47.0148 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2002er Ia  Ia,Ia-norm  sn2002er-20020903-ui.flm  20020903.0  -4.0 | 11 Kast  3127.0 - 10400.0  83.369  Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002er Ia  Ia,Ia-norm  sn2002er-20021108-br.flm  20021108.0  61.5 | 77 LRIS  3138.0 - 9416.0 18.0375 Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012MNRAS.425.1789S
SN 2002es Ia-pec  Ia,Ia-91bg,Ia-norm  sn2002es-20020913-ui.flm  20020913.0  None | 21 Kast  3195.0 - 10400.0  30.3176 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012ApJ...751..142G
SN 2002es Ia-pec  Ia,Ia-91bg,Ia-norm  sn2002es-20021001-ui.flm  20021001.0  None | 39 Kast  3372.0 - 10400.0  14.0182 Alex Filippenko, Ryan Foley | Ryan Foley  2012ApJ...751..142G
SN 2002es Ia-pec  Ia,Ic,Ia-91bg,Ia-norm sn2002es-20020903-ui.flm  20020903.0  None | 11 Kast  3150.0 - 10400.0  36.0341 Ryan Chornock, Brandon Swift | Ryan Foley 2012ApJ...751..142G
SN 2002es Ia-pec  Ia,Ia-91bg,Ia-norm  sn2002es-20021008-br.flm  20021008.0  None | 46 LRIS  3088.5 - 9420.0 34.1038 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012ApJ...751..142G
SN 2002es Ia-pec  Ia,Ia-norm,Ia-02cx  sn2002es-20021111-br.flm  20021111.0  None | 80 LRIS  3136.0 - 9414.0 3.1006  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012ApJ...751..142G
SN 2002es Ia-pec  Ic,Ic-broad sn2002es-20021108-br.flm  20021108.0  None | 77 LRIS  3202.0 - 9280.0 6.16219 Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012ApJ...751..142G
SN 2002et Ia  Ia,Ia-norm  sn2002et-20020903-ui.flm  20020903.0  None | 10 Kast  3184.0 - 10400.0  11.2054 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eu Ia  Ia,Ia-norm  sn2002eu-20020913-ui.flm  20020913.0  13.5 | 14 Kast  3195.0 - 10400.0  14.2808 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012MNRAS.425.1789S
SN 2002eu Ia  Ia,Ia-91bg,Ia-norm  sn2002eu-20021001.237-ui.flm  20021001.237  30.8 | 32 Kast  3300.0 - 10400.0  2.69052 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2002eu Ia  Ia,Ia-norm  sn2002eu-20020903-ui.flm  20020903.0  3.9 | 4 Kast  3150.0 - 10400.0  27.3959 Ryan Chornock, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2002eu Ia  Ia,Ia-norm  sn2002eu-20021008-br.flm  20021008.0  37.6 | 39 LRIS  3070.5 - 9420.0 26.6174 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002eu Ia  Ia,Ia-norm  sn2002eu-20021108-br.flm  20021108.0  67.5 | 70 LRIS  3186.0 - 9266.0 12.397  Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012MNRAS.425.1789S
SN 2002ey Ia  Ia,Ia-91bg,Ia-norm  sn2002ey-20020904-ui.flm  20020904.0  None | 1  Kast  3258.0 - 10400.0  10.9789 Ryan Chornock | Ryan Foley  2012MNRAS.425.1789S
SN 2002fb Ia  Ia,Ia-91bg,Ia-norm  sn2002fb-20020913-ui.flm  20020913.0  3.0 | 7 Kast  3195.0 - 10400.0  33.5612 Ryan Foley, Saurabh Jha, Marina Papenkova | Ryan Foley  2012MNRAS.425.1789S
SN 2002fb Ia  Ia,Ia-91bg,Ia-norm  sn2002fb-20021001-ui.flm  20021001.0  20.7 | 25 Kast  3314.0 - 10400.0  17.531  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2002fb Ia  Ia,Ic-norm,Ia-91bg  sn2002fb-20021108-br.flm  20021108.0  58.1 | 63 LRIS  3248.0 - 9280.0 9.79677 Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012MNRAS.425.1789S
SN 2002fi Ia  Ia,Ia-norm,Ia-02cx  sn2002fi-20021008-br.flm  20021008.0  None | 25 LRIS  3162.5 - 9420.0 6.79534 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002fk Ia  Ia,Ia-99aa,Ia-norm  sn2002fk-20021212-ui.flm  20021212.0  72.5 | 86 Kast  3100.0 - 10400.0  26.833  Ryan Foley, Marina Papenkova | Ryan Foley 2012MNRAS.425.1789S
SN 2002fk Ia  Ia,Ia-norm  sn2002fk-20021008-br.flm  20021008.0  7.9 | 21  LRIS  3012.5 - 9420.0 75.0427 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002fk Ia  Ia,Ia-norm  sn2002fk-20030227-br.flm  20030227.0  148.9 | 163 LRIS  3110.0 - 9416.0 33.1579 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002fk Ia  Ia,Ia-norm  sn2002fk-20021111-br.flm  20021111.0  41.7 | 55 LRIS  3136.0 - 9414.0 59.5531 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2002fk Ia  Ia,Ia-norm  sn2002fk-20021109-joined.flm  20021109.0  39.7 | 53 ESI 3949.99 - 10198.5 39.2337 Alex Filippenko, Ryan Chornock, Surabh Jha, Barris | Ryan Chornock  2012MNRAS.425.1789S
SN 2002gb Ia  Ia,Ia-norm  sn2002gb-20021008-br.flm  20021008.0  None | 41 LRIS  3118.5 - 9420.0 18.8647 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
